50
0xffffc700 0 0
0xffffc550 0 1
0xffffc778 0 2
0xffffc790 0 3
0xffffc760 0 4
0xffffc568 1 0
0xffffc580 1 1
0xffffc598 1 2
0xffffc748 1 3
0xffffc5c8 2 0
0xffffc5e0 2 2
0xffffc5b0 2 3
0xffffc5f8 2 4
0xffffc610 3 0
0xffffc628 3 1
0xffffc640 3 3
0xffffc658 3 4
0xffffc730 4 0
0xffffc688 4 2
0xffffc718 4 4
0xffffc6a0 5 0
0xffffc670 5 1
0xffffc6b8 5 2
0xffffc6d0 5 3
0xffffc6e8 5 4
0xffffc440 7 0
0xffffc410 7 1
0xffffc458 7 2
0xffffc470 7 3
0xffffc488 7 4
0xffffc4d0 8 0
0xffffc428 8 2
0xffffc4b8 8 4
0xffffc3b0 9 0
0xffffc3c8 9 1
0xffffc3e0 9 3
0xffffc3f8 9 4
0xffffc368 10 0
0xffffc320 10 1
0xffffc380 10 2
0xffffc398 10 4
0xffffc308 11 0
0xffffc338 11 2
0xffffc4e8 11 3
0xffffc350 11 4
0xffffc4a0 12 0
0xffffc2f0 12 1
0xffffc518 12 2
0xffffc530 12 3
0xffffc500 12 4
4f0 12 1
2 0xffffc718 12 2
2 0xffffc730 12 3
2 0xffffc700 12 4
48
1 0xffffc900 0 0
1 0xffffc750 0 1
1 0xffffc978 0 2
1 0xffffc990 0 3
1 0xffffc960 0 4
1 0xffffc768 1 0
1 0xffffc780 1 1
1 0xffffc798 1 2
1 0xffffc948 1 3
1 0xffffc7b0 1 4
1 0xffffc7c8 2 0
1 0xffffc7e0 2 2
1 0xffffc7f8 2 4
1 0xffffc810 3 0
1 0xffffc828 3 1
1 0xffffc840 3 3
1 0xffffc858 3 4
1 0xffffc930 4 0
1 0xffffc888 4 2
1 0xffffc918 4 4
1 0xffffc8a0 5 0
1 0xffffc870 5 1
1 0xffffc8d0 5 3
2 0xffffc640 7 0
2 0xffffc610 7 1
2 0xffffc670 7 3
2 0xffffc6d0 8 0
2 0xffffc628 8 2
2 0xffffc6b8 8 4
2 0xffffc5b0 9 0
2 0xffffc5c8 9 1
2 0xffffc5e0 9 3
2 0xffffc5f8 9 4
2 0xffffc568 10 0
2 0xffffc580 10 2
2 0xffffc598 10 4
2 0xffffc508 11 0
2 0xffffc520 11 1
2 0xffffc538 11 2
2 0xffffc6e8 11 3
2 0xffffc550 11 4
2 0xffffc6a0 12 0
2 0xffffc4f0 12 1
2 0xffffc718 12 2
2 0xffffc730 12 3
2 0xffffc700 12 4
46
1 0xffffc900 0 0
1 0xffffc750 0 1
1 0xffffc978 0 2
1 0xffffc990 0 3
1 0xffffc960 0 4
1 0xffffc768 1 0
1 0xffffc780 1 1
1 0xffffc798 1 2
1 0xffffc948 1 3
1 0xffffc7b0 1 4
1 0xffffc7c8 2 0
1 0xffffc7e0 2 2
1 0xffffc7f8 2 4
1 0xffffc810 3 0
1 0xffffc828 3 1
1 0xffffc840 3 3
1 0xffffc858 3 4
1 0xffffc930 4 1
1 0xffffc888 4 2
1 0xffffc918 4 4
1 0xffffc8a0 5 0
1 0xffffc870 5 1
1 0xffffc8d0 5 3
2 0xffffc640 7 0
2 0xffffc610 7 1
2 0xffffc670 7 3
2 0xffffc6d0 8 0
2 0xffffc628 8 2
2 0xffffc6b8 8 4
2 0xffffc5b0 9 0
2 0xffffc5c8 9 1
2 0xffffc5e0 9 3
2 0xffffc5f8 9 4
2 0xffffc568 10 0
2 0xffffc580 10 2
2 0xffffc598 10 4
2 0xffffc508 11 0
2 0xffffc520 11 1
2 0xffffc538 11 2
2 0xffffc6e8 11 3
2 0xffffc550 11 4
2 0xffffc6a0 12 0
2 0xffffc4f0 12 1
2 0xffffc718 12 2
2 0xffffc730 12 3
2 0xffffc700 12 4
46
